Date,Description,URL
13th century,"Explosive bomb in Jin dynasty Manchuria: Explosive bombs are used in 1221 by the Jin dynasty against a Song Dynasty city.[329] The first accounts of bombs made of cast iron shells packed with explosive gunpowder are documented in the 13th century in China and are called ""thunder-crash bombs"",[330] coined during a Jin dynasty naval battle in 1231.[331]",https://en.wikipedia.org/wiki/Bomb
13th century,"Hand cannon in Yuan dynasty China: The earliest hand cannon dates to the 13th century based on archaeological evidence from a Heilongjiang excavation. There is also written evidence in the Yuanshi (1370) on Li Tang, an ethnic Jurchen commander under the Yuan Dynasty who in 1288 suppresses the rebellion of the Christian prince Nayan with his ""gun-soldiers"" or chongzu, this being the earliest known event where this phrase is used.[332]",https://en.wikipedia.org/wiki/Hand_cannon
13th century - 14th century,Worm gear cotton gin in India.[333],https://en.wikipedia.org/wiki/Cotton_gin
1277,"Land mine in Song dynasty China: Textual evidence suggests that the first use of a land mine in history is by a Song Dynasty brigadier general known as Lou Qianxia, who uses an 'enormous bomb' (huo pao) to kill Mongol soldiers invading Guangxi in 1277.[334]",https://en.wikipedia.org/wiki/Land_mine
1286,Eyeglasses in Italy[335],https://en.wikipedia.org/wiki/Eyeglasses
Early 14th century - Mid 14th century,Multistage rocket in Ming dynasty China described in Huolongjing by Jiao Yu.,https://en.wikipedia.org/wiki/Multistage_rocket
By at least 1326,Cannon in Ming dynasty China[336],https://en.wikipedia.org/wiki/Cannon
14th century,Jacob's staff described by Levi ben Gerson,https://en.wikipedia.org/wiki/Jacob%27s_staff
14th century,"Naval mine in Ming dynasty China: Mentioned in the Huolongjing military manuscript written by Jiao Yu (fl. 14th to early 15th century) and Liu Bowen (1311-1375), describing naval mines used at sea or on rivers and lakes, made of wrought iron and enclosed in an ox bladder. A later model is documented in Song Yingxing's encyclopedia written in 1637.[337]",https://en.wikipedia.org/wiki/Naval_mine
14th century,Bidriware in the Bahmani Sultanate in India.[338],https://en.wikipedia.org/wiki/Bidriware
Early 15th century,Coil spring in Europe[340],https://en.wikipedia.org/wiki/Coil_spring
15th century,Mainspring in Europe[340],https://en.wikipedia.org/wiki/Mainspring
15th century,Rifle in Europe,https://en.wikipedia.org/wiki/Rifle
1420s,"Brace in Flandres, Holy Roman Empire[341]",https://en.wikipedia.org/wiki/Brace_(tool)
1439,"Printing press in Mainz, Germany: The printing press is invented in the Holy Roman Empire by Johannes Gutenberg before 1440, based on existing screw presses. The first confirmed record of a press appeared in a 1439 lawsuit against Gutenberg.[342]",https://en.wikipedia.org/wiki/Printing_press
Mid 15th century,"The Arquebus (also spelled Harquebus) is invented, possibly in Spain.[343][344]",https://en.wikipedia.org/wiki/Arquebus
1480s,Mariner's astrolabe in Portuguese circumnavigation of Africa[345],https://en.wikipedia.org/wiki/Mariner%27s_astrolabe
16th century,"Chintz or printed clothing in Golconda, India[346]",https://en.wikipedia.org/wiki/Chintz
1560,"Floating Dry Dock in Venice, Venetian Republic[349]",https://en.wikipedia.org/wiki/Dry_dock#Floating
1569,Mercator Projection map created by Gerardus Mercator,https://en.wikipedia.org/wiki/Mercator_Projection
1589,Stocking frame: Invented by William Lee.[350],https://en.wikipedia.org/wiki/Stocking_frame
1589-1590,Seamless globe was invented in Kashmir (then Mughal India) by Ali Kashmiri ibn Luqman.[351][352],https://en.wikipedia.org/wiki/Celestial_globe
1594,Backstaff: Invented by Captain John Davis.,https://en.wikipedia.org/wiki/Backstaff
By at least 1597,Revolver: Invented by Hans Stopler.,https://en.wikipedia.org/wiki/Revolver
1605,Newspaper (Relation): Johann Carolus in Strassburg (see also List of the oldest newspapers)[353][354],https://en.wikipedia.org/wiki/Newspaper
1608,Telescope: Patent applied for by Hans Lippershey. Actual inventor unknown since it seemed to already be a common item being offered by the spectacle makers in the Netherlands with Jacob Metius also applying for patent and the son of Zacharias Janssen making a claim 47 years later that his father invented it.,https://en.wikipedia.org/wiki/Telescope
1620,"Compound microscopes, which combine an objective lens with an eyepiece to view a real image, first appear in Europe. Apparently derived from the telescope, actual inventor unknown, variously attributed to Zacharias Janssen (his son claiming it was invented in 1590), Cornelis Drebbel, and Galileo Galilei.[355]",https://en.wikipedia.org/wiki/Optical_microscope#Compound_microscope
1630,Slide rule: invented by William Oughtred[356][357],https://en.wikipedia.org/wiki/Slide_rule
1642,Mechanical calculator. The Pascaline is built by Blaise Pascal.[358],https://en.wikipedia.org/wiki/Mechanical_calculator
1643,"Barometer: invented by Evangelista Torricelli, or possibly up to three years earlier by Gasparo Berti.[359]",https://en.wikipedia.org/wiki/Barometer
1650,Vacuum pump: Invented by Otto von Guericke.[360],https://en.wikipedia.org/wiki/Vacuum_pump
1656,Pendulum clock: Invented by Christiaan Huygens. It was first conceptualized in 1637 by Galileo Galilei but he was unable to create a working model.[361],https://en.wikipedia.org/wiki/Pendulum_clock
1663,Friction machine: Invented by Otto von Guericke.,https://en.wikipedia.org/wiki/Electrostatic_generator
1668,First functional reflecting telescope constructed by Isaac Newton.[362],https://en.wikipedia.org/wiki/Reflecting_telescope
1679,Pressure-cooker: Invented by Denis Papin.[363],https://en.wikipedia.org/wiki/Pressure-cooker
1680,Christiaan Huygens provides the first known description of a piston engine.[364],https://en.wikipedia.org/wiki/Christiaan_Huygens
1698,Thomas Savery developes a steam-powered water pump: for draining mines[365],https://en.wikipedia.org/wiki/Thomas_Savery
1709,Bartolomeo Cristofori crafts the first piano.,https://en.wikipedia.org/wiki/Bartolomeo_Cristofori
1709,Daniel Gabriel Fahrenheit invents the alcohol thermometer.,https://en.wikipedia.org/wiki/Daniel_Gabriel_Fahrenheit
1712,"Thomas Newcomen builds the first commercial steam engine to pump water out of mines.[366] Newcomen's engine, unlike Thomas Savery's, uses a piston.",https://en.wikipedia.org/wiki/Thomas_Newcomen
1730,Thomas Godfrey and John Hadley independently develop the octant,https://en.wikipedia.org/wiki/Thomas_Godfrey_(inventor)
1733,John Kay enables one person to operate a loom with the flying shuttle[367],https://en.wikipedia.org/wiki/John_Kay_(flying_shuttle)
1738,Lewis Paul and John Wyatt invent the first mechanized cotton spinning machine.,https://en.wikipedia.org/wiki/Lewis_Paul
1742,Benjamin Franklin invents the Franklin stove.,https://en.wikipedia.org/wiki/Benjamin_Franklin
1745,"Musschenbroek and Kleist independently develop the Leyden jar, an early form of capacitor.",https://en.wikipedia.org/wiki/Pieter_van_Musschenbroek
1746,John Roebuck invents the lead chamber process.,https://en.wikipedia.org/wiki/John_Roebuck
1752,Benjamin Franklin invents the lightning rod.,https://en.wikipedia.org/wiki/Benjamin_Franklin
1755,William Cullen invents the first artificial refrigeration machine.,https://en.wikipedia.org/wiki/William_Cullen
1760,John Joseph Merlin invents the first  Roller skates.[368],https://en.wikipedia.org/wiki/John_Joseph_Merlin
1764,James Hargreaves invents the spinning jenny.,https://en.wikipedia.org/wiki/James_Hargreaves
1765,James Watt invents the improved steam engine utilizing a separate condenser.,https://en.wikipedia.org/wiki/James_Watt
1767,Joseph Priestley invents a method for the production of carbonated water.,https://en.wikipedia.org/wiki/Joseph_Priestley
1769,"Nicolas-Joseph Cugnot invents the first steam-powered vehicle capable of carrying passengers, an early car.",https://en.wikipedia.org/wiki/Nicolas-Joseph_Cugnot
1770,Richard Salter invents the earliest known design for a weighing scale.,https://en.wikipedia.org/wiki/Richard_Salter_(inventor)
1774,"John Wilkinson invents his boring machine, considered by some to be the first machine tool.",https://en.wikipedia.org/wiki/John_Wilkinson_(industrialist)
1775,Jesse Ramsden invents the modern screw-cutting lathe.,https://en.wikipedia.org/wiki/Jesse_Ramsden
1776,John Wilkinson invents a mechanical air compressor that would become the prototype for all later mechanical compressors.,https://en.wikipedia.org/wiki/John_Wilkinson_(industrialist)
1778,Robert Barron invents the first lever tumbler lock.,https://en.wikipedia.org/wiki/Robert_Barron_(locksmith)
1780,Hyder Ali of Mysore develops the first metal-cylinder rockets.[369],https://en.wikipedia.org/wiki/Hyder_Ali
1783,Claude de Jouffroy builds the first steamboat.,https://en.wikipedia.org/wiki/Claude_de_Jouffroy
1783,Joseph-Ralf and Jacques-Étienne Montgolfier build the first manned hot air balloon.,https://en.wikipedia.org/wiki/Montgolfier_brothers
1783,Louis-Sébastien Lenormand invents and uses the first modern parachute.,https://en.wikipedia.org/wiki/Louis-S%C3%A9bastien_Lenormand
1785,Martinus van Marum is the first to use the electrolysis technique.,https://en.wikipedia.org/wiki/Martinus_van_Marum
1786,Andrew Meikle invents the threshing machine.,https://en.wikipedia.org/wiki/Andrew_Meikle
1789,Edmund Cartwright invents the power loom.,https://en.wikipedia.org/wiki/Edmund_Cartwright
1790,Thomas Saint invents the sewing machine.,https://en.wikipedia.org/wiki/Sewing_machine
1792,Claude Chappe invents the modern semaphore telegraph.,https://en.wikipedia.org/wiki/Claude_Chappe
1793,Eli Whitney invents the modern cotton gin.,https://en.wikipedia.org/wiki/Eli_Whitney
1795,Joseph Bramah invents the hydraulic press.,https://en.wikipedia.org/wiki/Joseph_Bramah
1796,Alois Senefelder invents the lithography printing technique.[370],https://en.wikipedia.org/wiki/Alois_Senefelder
1797,Samuel Bentham invents plywood.,https://en.wikipedia.org/wiki/Samuel_Bentham
1799,George Medhurst invents the first motorized air compressor.,https://en.wikipedia.org/wiki/George_Medhurst
1799,The first paper machine is invented by Louis-Nicolas Robert.,https://en.wikipedia.org/wiki/Paper_machine
1800,"Alessandro Volta invents the voltaic pile, an early form of battery in Italy, based on previous works by Luigi Galvani.",https://en.wikipedia.org/wiki/Alessandro_Volta
1802,Humphry Davy invents the arc lamp (exact date unclear; not practical as a light source until the invention of efficient electric generators).[371],https://en.wikipedia.org/wiki/Humphry_Davy
1804,Friedrich Sertürner discovers morphine as the first active alkaloid extracted from the opium poppy plant.[372],https://en.wikipedia.org/wiki/Friedrich_Sert%C3%BCrner
1804,Joseph Marie Jacquard develops his automated Jacquard loom.[373],https://en.wikipedia.org/wiki/Joseph_Marie_Jacquard
1804,Richard Trevithick invents the steam locomotive.[374],https://en.wikipedia.org/wiki/Richard_Trevithick
1804,"Hanaoka Seishū creates tsūsensan, the first modern general anesthetic.[375]",https://en.wikipedia.org/wiki/Hanaoka_Seish%C5%AB
1807,Nicéphore Niépce invents  an early internal combustion engine capable of doing useful work.,https://en.wikipedia.org/wiki/Nic%C3%A9phore_Ni%C3%A9pce
1807,François Isaac de Rivaz designs the first automobile powered by an internal combustion engine fuelled by hydrogen.,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Isaac_de_Rivaz
1807,Robert Fulton expands water transportation and trade with the workable steamboat.,https://en.wikipedia.org/wiki/Robert_Fulton
1810,Nicolas Appert invents the canning process for food.,https://en.wikipedia.org/wiki/Nicolas_Appert
1810,Abraham-Louis Breguet creates the first wristwatch.[376],https://en.wikipedia.org/wiki/Abraham-Louis_Breguet
1811,"Friedrich Koenig invents the first powered printing press, which was also the first to use a cylinder.",https://en.wikipedia.org/wiki/Friedrich_Koenig
1812,William Reid Clanny pioneered the invention of the safety lamp which he improved in later years. Safety lamps based on Clanny's improved design were used until the adoption of electric lamps.,https://en.wikipedia.org/wiki/William_Reid_Clanny
1814,"James Fox invents the modern planing machine, though Matthew Murray of Leeds and Richard Roberts of Manchester have also been credited at times with its invention.",https://en.wikipedia.org/wiki/James_Fox_(engineer)
1816,René Laennec  invents the first Stethoscope.[377],https://en.wikipedia.org/wiki/Ren%C3%A9_Laennec
1816,Francis Ronalds builds the first working electric telegraph using electrostatic means.,https://en.wikipedia.org/wiki/Francis_Ronalds
1816,Robert Stirling invents the Stirling engine.[378],https://en.wikipedia.org/wiki/Robert_Stirling
1817,"Baron Karl von Drais invents the dandy horse, an early velocipede and precursor to the modern bicycle.",https://en.wikipedia.org/wiki/Karl_von_Drais
1818,Marc Isambard Brunel invents the tunnelling shield.,https://en.wikipedia.org/wiki/Marc_Isambard_Brunel
1822,"Thomas Blanchard invents the pattern-tracing lathe (actually more like a shaper). The lathe can copy symmetrical shapes and is used for making gun stocks, and later, ax handles. The lathe's patent is in force for 42 years.[379][380]",https://en.wikipedia.org/wiki/Thomas_Blanchard_(inventor)
1822,"Nicéphore Niépce invents Heliography, the first photographic process.",https://en.wikipedia.org/wiki/Nic%C3%A9phore_Ni%C3%A9pce
1822,"Charles Babbage, considered the ""father of the computer"",[381] begins building the first programmable mechanical computer.",https://en.wikipedia.org/wiki/Charles_Babbage
1823,Johann Wolfgang Döbereiner invents the first lighter.,https://en.wikipedia.org/wiki/Johann_Wolfgang_D%C3%B6bereiner
1824,Johann Nikolaus von Dreyse invents the bolt-action rifle.[382],https://en.wikipedia.org/wiki/Johann_Nikolaus_von_Dreyse
1825,William Sturgeon invents the electromagnet.,https://en.wikipedia.org/wiki/William_Sturgeon
1826,John Walker invents the friction match.[383],https://en.wikipedia.org/wiki/John_Walker_(inventor)
1826,James Sharp invents and goes on to manufacture the first practical gas stove.,https://en.wikipedia.org/wiki/Gas_stove
1828,James Beaumont Neilson develops the hot blast process.,https://en.wikipedia.org/wiki/James_Beaumont_Neilson
1828,Patrick Bell invents the reaping machine.,https://en.wikipedia.org/wiki/Patrick_Bell
1828,Hungarian physicist Ányos Jedlik invents the first commutated rotary electromechanical machine with electromagnets.,https://en.wikipedia.org/wiki/%C3%81nyos_Jedlik
1829,Louis Braille invents the Braille reading system for the blind.[384],https://en.wikipedia.org/wiki/Louis_Braille
1829,William Mann invents the compound air compressor.,https://en.wikipedia.org/wiki/Air_compressor
1829,Henry Robinson Palmer is awarded a patent for corrugated galvanised iron.,https://en.wikipedia.org/wiki/Henry_Robinson_Palmer
1830,Edwin Budding invents the lawn mower.,https://en.wikipedia.org/wiki/Edwin_Budding
1831,Michael Faraday invents a method of electromagnetic induction. It would be independently invented by Joseph Henry the following year.,https://en.wikipedia.org/wiki/Michael_Faraday
1834,Moritz von Jacobi invents the first practical electric motor.,https://en.wikipedia.org/wiki/Moritz_von_Jacobi
1835,Joseph Henry invents the electromechanical relay.,https://en.wikipedia.org/wiki/Joseph_Henry
1837,Samuel Morse invents Morse code.,https://en.wikipedia.org/wiki/Samuel_Morse
1838,Moritz von Jacobi invents electrotyping.,https://en.wikipedia.org/wiki/Moritz_von_Jacobi
1839,William Otis invents the steam shovel.,https://en.wikipedia.org/wiki/William_Otis
1839,James Nasmyth invents the steam hammer.,https://en.wikipedia.org/wiki/James_Nasmyth
1839,"Edmond Becquerel invents a method for the photovoltaic effect, effectively producing the first solar cell.",https://en.wikipedia.org/wiki/Edmond_Becquerel
1839,Charles Goodyear invents vulcanized rubber.[385],https://en.wikipedia.org/wiki/Charles_Goodyear
1839,Louis Daguerre invents daguerreotype photography.[386],https://en.wikipedia.org/wiki/Louis_Daguerre
1840,John Herschel invents the blueprint.[387],https://en.wikipedia.org/wiki/John_Herschel
1841,Alexander Bain devises a printing telegraph.[388],https://en.wikipedia.org/wiki/Alexander_Bain_(inventor)
1842,William Robert Grove invents the first fuel cell.,https://en.wikipedia.org/wiki/William_Robert_Grove
1842,"John Bennet Lawes invents superphosphate, the first man-made fertilizer.",https://en.wikipedia.org/wiki/John_Bennet_Lawes
1844,"Friedrich Gottlob Keller and, independently, Charles Fenerty come up with the wood pulp method of paper production.",https://en.wikipedia.org/wiki/Friedrich_Gottlob_Keller
1845,Isaac Charles Johnson invents modern Portland cement.,https://en.wikipedia.org/wiki/Isaac_Charles_Johnson
1846,Henri-Joseph Maus invents the tunnel boring machine.,https://en.wikipedia.org/wiki/Tunnel_boring_machine
1847,"Ascanio Sobrero invents Nitroglycerin, the first explosive made that was stronger than black powder.",https://en.wikipedia.org/wiki/Ascanio_Sobrero
1848,Jonathan J. Couch invents the pneumatic drill.,https://en.wikipedia.org/wiki/Jackhammer
1848,Linus Yale Sr. invents the first modern pin tumbler lock.,https://en.wikipedia.org/wiki/Linus_Yale_Jr.
1849,Walter Hunt invents the first repeating rifle to use metallic cartridges (of his own design) and a spring-fed magazine.,https://en.wikipedia.org/wiki/Walter_Hunt_(inventor)
1849,James B. Francis invents the Francis turbine.,https://en.wikipedia.org/wiki/James_B._Francis
1849,Walter Hunt invents the Safety pin.[389],https://en.wikipedia.org/wiki/Walter_Hunt_(inventor)
1850,William Armstrong invents the hydraulic accumulator.,"https://en.wikipedia.org/wiki/William_Armstrong,_1st_Baron_Armstrong"
1851,"George Jennings offers the first public flush toilets, accessible for a penny per visit, and in 1852 receives a UK patent for the single piece, free standing, earthenware, trap plumed, flushing, water-closet.[390]",https://en.wikipedia.org/wiki/George_Jennings
1852,Robert Bunsen is the first to use a chemical vapor deposition technique.,https://en.wikipedia.org/wiki/Robert_Bunsen
1852,Elisha Otis invents the safety brake elevator.[391],https://en.wikipedia.org/wiki/Elisha_Otis
1852,"Henri Giffard becomes the first person to make a manned, controlled and powered flight using a dirigible.",https://en.wikipedia.org/wiki/Henri_Giffard
1853,François Coignet invents reinforced concrete.,https://en.wikipedia.org/wiki/Reinforced_concrete
1855,"James Clerk Maxwell invents the first practical method for color photography, whether chemical or electronic.",https://en.wikipedia.org/wiki/James_Clerk_Maxwell
1855,"Henry Bessemer patents the Bessemer process for making steel, with improvements made by others over the following years.",https://en.wikipedia.org/wiki/Henry_Bessemer
1856,"Alexander Parkes invents parkesine, also known as celluloid, the first man-made plastic.",https://en.wikipedia.org/wiki/Alexander_Parkes
1856,"James Harrison produces the world's first practical ice making machine and refrigerator using the principle of vapour compression in Geelong, Australia.[392]",https://en.wikipedia.org/wiki/James_Harrison_(engineer)
1856,"William Henry Perkin invents mauveine, the first synthetic dye.",https://en.wikipedia.org/wiki/William_Henry_Perkin
1857,Heinrich Geissler invents the Geissler tube.,https://en.wikipedia.org/wiki/Heinrich_Geissler
1857,"The phonautograph, the earliest known device for recording sound is patented and invented by Frenchman Édouard-Léon Scott de Martinville.",https://en.wikipedia.org/wiki/Phonautograph
1859,"Gaston Planté invents the lead acid battery, the first rechargeable battery.",https://en.wikipedia.org/wiki/Gaston_Plant%C3%A9
1860,Joseph Swan produces carbon fibers.[393],https://en.wikipedia.org/wiki/Joseph_Swan
1864,Louis Pasteur invents the pasteurization process.,https://en.wikipedia.org/wiki/Louis_Pasteur
1865,Carl Wilhelm Siemens and Pierre-Émile Martin invented the Siemens-Martin process for making steel.,https://en.wikipedia.org/wiki/Carl_Wilhelm_Siemens
1867,"Alfred Nobel invents dynamite, the first safely manageable explosive stronger than black powder.",https://en.wikipedia.org/wiki/Alfred_Nobel
1867,"Lucien B. Smith invents barbed wire, which Joseph F. Glidden will modify in 1874, leading to the taming of the West and the end of the cowboys.",https://en.wikipedia.org/wiki/Barbed_wire
1872,"Polyvinyl chloride, more commonly known as vinyl, is synthesized by German chemist Eugen Baumann",https://en.wikipedia.org/wiki/Polyvinyl_chloride
1872,J.E.T. Woods and J. Clark invented stainless steel. Harry Brearley was the first to commercialize it.[394],https://en.wikipedia.org/wiki/Stainless_steel
1873,Frederick Ransome invents the rotary kiln.,https://en.wikipedia.org/wiki/Frederick_Ransome
1873,"William Crookes, a chemist, invents the Crookes radiometer as the by-product of some chemical research.",https://en.wikipedia.org/wiki/William_Crookes
1873,"Zénobe Gramme invents the first commercial electrical generator, the Gramme machine.",https://en.wikipedia.org/wiki/Z%C3%A9nobe_Gramme
1874,Gustave Trouvé invents the first metal detector.,https://en.wikipedia.org/wiki/Gustave_Trouv%C3%A9
1875,"Fyodor Pirotsky invents the first electric tram near Saint Petersburg, Russia.",https://en.wikipedia.org/wiki/Fyodor_Pirotsky
1876,Nicolaus August Otto invents the four-stroke cycle.,https://en.wikipedia.org/wiki/Nicolaus_August_Otto
1876,"Alexander Graham Bell has a patent granted for the telephone. However, other inventors before Bell had worked on the development of the telephone and the invention had several pioneers.[395]",https://en.wikipedia.org/wiki/Alexander_Graham_Bell
1877,Thomas Edison invents the first working phonograph.[396],https://en.wikipedia.org/wiki/Thomas_Edison
1878,Henry Fleuss is granted a patent for the first practical rebreather.[397],https://en.wikipedia.org/wiki/Henry_Fleuss
1878,Lester Allan Pelton invents the Pelton wheel.,https://en.wikipedia.org/wiki/Lester_Allan_Pelton
1879,"Joseph Swan and Thomas Edison both patent a functional incandescent light bulb. Some two dozen inventors had experimented with electric incandescent lighting over the first three-quarters of the 19th century but never came up with a practical design.[398] Swan's, which he had been working on since the 1860s, had a low resistance so was only suited for small installations. Edison designed a high-resistance bulb as part of a large-scale commercial electric lighting utility.[399][400][401]",https://en.wikipedia.org/wiki/Joseph_Swan
1881,"Nikolay Benardos presents carbon arc welding, the first practical arc welding method.[402]",https://en.wikipedia.org/wiki/Nikolay_Benardos
1884,"Hiram Maxim invents the recoil-operated Maxim gun, ushering in the age of semi- and fully automatic firearms.",https://en.wikipedia.org/wiki/Hiram_Maxim
1884,"Paul Vieille invents Poudre B, the first smokeless powder for firearms.",https://en.wikipedia.org/wiki/Paul_Vieille
1884,Sir Charles Parsons invents the modern steam turbine.,https://en.wikipedia.org/wiki/Charles_Algernon_Parsons
1884,"Hungarian engineers Károly Zipernowsky, Ottó Bláthy and Miksa Déri invent the closed core high efficiency transformer and the AC parallel power distribution.",https://en.wikipedia.org/wiki/K%C3%A1roly_Zipernowsky
1885,John Kemp Starley invents the modern safety bicycle.[403][404],https://en.wikipedia.org/wiki/John_Kemp_Starley
1886,"Carl Gassner invents the zinc-carbon battery, the first dry cell battery, making portable electronics practical.",https://en.wikipedia.org/wiki/Carl_Gassner
1886,Charles Martin Hall and independently Paul Héroult invent the Hall-Héroult process for economically producing aluminum in 1886.,https://en.wikipedia.org/wiki/Charles_Martin_Hall
1886,Karl Benz invents the first petrol or gasoline powered auto-mobile (car).[405],https://en.wikipedia.org/wiki/Karl_Benz
1887,Carl Josef Bayer invents the Bayer process for the production of alumina.,https://en.wikipedia.org/wiki/Carl_Josef_Bayer
1887,James Blyth invents the first wind turbine used for generating electricity.,https://en.wikipedia.org/wiki/James_Blyth_(engineer)
1887,"John Stewart MacArthur, working in collaboration with brothers Dr. Robert and Dr. William Forrest develops the process of gold cyanidation.",https://en.wikipedia.org/wiki/John_Stewart_MacArthur
1888,John J. Loud invents the ballpoint pen.[406],https://en.wikipedia.org/wiki/John_J._Loud
1888,Thomas Edison and William Kennedy Dickson invents Kinetoscope.[407],https://en.wikipedia.org/wiki/Thomas_Edison
1888,Heinrich Hertz publishes a conclusive proof of James Clerk Maxwell's electromagnetic theory in experiments that also demonstrate the existence of radio waves. The effects of electromagnetic waves had been observed by many people before this but no usable theory explaining them existed until Maxwell.,https://en.wikipedia.org/wiki/Heinrich_Hertz
1888,"The first practical pneumatic tire was made by Scotsman John Boyd Dunlop, the patent was from 1847 by Robert William Thomson",https://en.wikipedia.org/wiki/Pneumatic_tire
1890s,Frédéric Swarts invents the first chlorofluorocarbons to be applied as refrigerant.[408],https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Swarts
1890,Robert Gair would invent the pre-cut cardboard box.[409],https://en.wikipedia.org/wiki/Robert_Gair
1891,Whitcomb Judson invents the zipper.,https://en.wikipedia.org/wiki/Whitcomb_Judson
1892,Léon Bouly invents the cinematograph.,https://en.wikipedia.org/wiki/L%C3%A9on_Bouly
1892,Thomas Ahearn invents the electric oven.[410],https://en.wikipedia.org/wiki/Thomas_Ahearn
1893,Rudolf Diesel invents the diesel engine (although Herbert Akroyd Stuart had experimented with compression ignition before Diesel).,https://en.wikipedia.org/wiki/Rudolf_Diesel
1895,Guglielmo Marconi invents a system of wireless communication using radio waves.,https://en.wikipedia.org/wiki/Guglielmo_Marconi
1895,Wilhelm Conrad Röntgen invented the first radiograph (xrays).,https://en.wikipedia.org/wiki/Wilhelm_Conrad_R%C3%B6ntgen
1898,"Hans von Pechmann synthesizes polyethylene, now the most common plastic in the world.[411]",https://en.wikipedia.org/wiki/Hans_von_Pechmann
1899,Waldemar Jungner invents the rechargeable nickel-cadmium battery (NiCd) as well as the nickel-iron electric storage battery (NiFe) and the rechargeable alkaline silver-cadmium battery (AgCd),https://en.wikipedia.org/wiki/Waldemar_Jungner
1900,The first Zeppelin is designed by Theodor Kober.,https://en.wikipedia.org/wiki/Zeppelin
1901,"The first motorized cleaner using suction, a powered ""vacuum cleaner"", is patented independently by Hubert Cecil Booth and David T. Kenney.[412]",https://en.wikipedia.org/wiki/Vacuum_cleaner
1903,The first successful gas turbine is invented by Ægidius Elling.,https://en.wikipedia.org/wiki/Gas_turbine
1903,Édouard Bénédictus invents laminated glass.,https://en.wikipedia.org/wiki/Laminated_glass
1903,"First sustained and controlled heavier-than-air powered flight achieved by an airplane flown at Kitty Hawk, North Carolina by Orville and Wilbur Wright. See Claims to the first powered flight.",https://en.wikipedia.org/wiki/Airplane
1904,"The Fleming valve, the first vacuum tube and diode, is invented by John Ambrose Fleming.",https://en.wikipedia.org/wiki/Fleming_valve
1907,The first free flight of a rotary-wing aircraft is carried out by Paul Cornu.,https://en.wikipedia.org/wiki/Paul_Cornu
1907,"Leo Baekeland invents bakelite,  the first plastic made from synthetic components.",https://en.wikipedia.org/wiki/Leo_Baekeland
1907,The tuyères thermopropulsives[413] after 1945 (Maurice Roy (fr)) known as the statoreacteur[413][414] a combustion subsonique (the ramjet)[415] - R. Lorin[416][417][418],https://en.wikipedia.org#cite_note-Peter-420
1908,Cellophane is invented by Jacques E. Brandenberger.,https://en.wikipedia.org/wiki/Cellophane
1909,Fritz Haber invents the Haber process.,https://en.wikipedia.org/wiki/Fritz_Haber
1909,"The first instantaneous transmission of images, or television broadcast, is carried out by Georges Rignoux and A. Fournier.",https://en.wikipedia.org/wiki/Television
1911,"The cloud chamber, the first particle detector, is invented by Charles Thomson Rees Wilson.",https://en.wikipedia.org/wiki/Cloud_chamber
1912,The first commercial slot cars or more accurately model electric racing cars operating under constant power were made by Lionel (USA) and appeared in their catalogues in 1912. They drew power from a toy train rail sunk in a trough that was connected to a battery.,
1912,The first use of articulated trams by Boston Elevated Railway.,https://en.wikipedia.org/wiki/Tram
1913,The Bergius process is developed by Friedrich Bergius.,https://en.wikipedia.org/wiki/Bergius_process
1913,The Kaplan turbine is invented by Viktor Kaplan.,https://en.wikipedia.org/wiki/Kaplan_turbine
1915,"Harry Brearley invents a process to create Martensitic stainless steel, initially labelled Rustless Steel, later marketed as Staybrite, and AISI Type 420.[419]",https://en.wikipedia.org/wiki/Harry_Brearley
1915,"The first operational military tanks are designed in Great Britain and France. They are used in battle from 1916 and 1917 respectively. The designers in Great Britain are Walter Wilson and William Tritton and in France, Eugène Brillié. (Although it is known that vehicles incorporating at least some of the features of the tank were designed in a number of countries from 1903 onward, none reached a practical form.)",https://en.wikipedia.org/wiki/Tanks
1916,"The Czochralski process, widely used for the production of single crystal silicon, is invented by Jan Czochralski.",https://en.wikipedia.org/wiki/Czochralski_process
1917,The crystal oscillator is invented by Alexander M. Nicholson using a crystal of Rochelle Salt although his priority was disputed by Walter Guyton Cady.,https://en.wikipedia.org/wiki/Crystal_oscillator
1925,The Fischer-Tropsch process is developed by Franz Fischer and Hans Tropsch at the Kaiser-Wilhelm-Institut für Kohlenforschung.,https://en.wikipedia.org/wiki/Fischer%E2%80%93Tropsch_process
1926,"The Yagi-Uda Antenna or simply Yagi Antenna is invented by Shintaro Uda of Tohoku Imperial University, assisted by his colleague Hidetsugu Yagi. The Yagi Antenna was widely used during World War II. After the war they saw extensive development as home television antennas.",https://en.wikipedia.org/wiki/Yagi-Uda_Antenna
1926,Robert H. Goddard launches the first liquid fueled rocket.,https://en.wikipedia.org/wiki/Robert_H._Goddard
1926,"Harry Ferguson, patents the Three-point hitch equipment linkage system for tractors.[420]",https://en.wikipedia.org/wiki/Harry_Ferguson
1926,John Logie Baird demonstrates the world's first live working television system.[421][422][423],https://en.wikipedia.org/wiki/John_Logie_Baird
1927,The quartz clock is invented by Warren Marrison and J.W. Horton at Bell Telephone Laboratories.[424],https://en.wikipedia.org/wiki/Quartz_clock
