Date,Description,URL
5000 BC,Seawall in Tel Hreiz.[92],https://en.wikipedia.org/wiki/Seawall
5th millennium BC,Lacquer in China[93][94],https://en.wikipedia.org/wiki/Lacquer
5000 BC,"Cotton thread, in Mehrgarh, Pakistan, connecting the copper beads of a bracelet.[95][96][97]",https://en.wikipedia.org/wiki/Cotton
5000 BC - 4500 BC,Rowing oars in China[98][99],https://en.wikipedia.org/wiki/Oar
4650 BC,"Copper-tin bronze found at the Pločnik (Serbia) site, and belonging to the Vinča culture, believed to be produced from smelting a natural tin baring copper ore, Stannite.[100]",https://en.wikipedia.org/wiki/Plo%C4%8Dnik_(archaeological_site)
4500 BC - 3500 BC,Lost-wax casting in Israel[101] or the Indus Valley[102],https://en.wikipedia.org/wiki/Lost-wax_casting
4400 BC,Fired bricks in China.[103],https://en.wikipedia.org/wiki/Brick#Fired_brick
4000 BC,"Probable time period of the first diamond-mines in the world, in Southern India.[104]",https://en.wikipedia.org#cite_note-hershey-105
4000 BC,"Paved roads, in and around the Mesopotamian city of Ur, Iraq.[105]",https://en.wikipedia.org/wiki/Ur
4000 BC,"Plumbing. The earliest pipes were made of clay, and are found at the Temple of Bel at Nippur in Babylonia.[106][nb 2]",https://en.wikipedia.org/wiki/Plumbing
4000 BC - 3500 BC,"Wheel: potter's wheels in Mesopotamia and wheeled vehicles in Mesopotamia (Sumerian civilization), the Northern Caucasus (Maykop culture) and Central Europe (Cucuteni-Trypillia culture).[109][110][111]",https://en.wikipedia.org/wiki/Wheel
3630 BC,Silk garments (sericulture) in China[112],https://en.wikipedia.org/wiki/Sericulture
3500 BC,Probable first domestication of the horse in the Eurasian Steppes.[113][114][115],https://en.wikipedia.org/wiki/Domestication_of_the_horse
3500 BC,Wine as general anesthesia in Sumer.[116],https://en.wikipedia.org/wiki/General_anesthesia
3500 BC,"Seal (emblem) invented around in the Near East, at the contemporary sites of Uruk in southern Mesopotamia and slightly later at Susa in south-western Iran during the Proto-Elamite period, and they follow the development of stamp seals in the Halaf culture or slightly earlier.[117]",https://en.wikipedia.org/wiki/Seal_(emblem)
3500 BC,"Ploughing, on a site in Bubeneč, Czech Republic.[118] Evidence, c. 2800 BC, has also been found at Kalibangan, Indus Valley (modern-day India).[119]",https://en.wikipedia.org/wiki/Ploughing
3400 BC - 3100 BC,Tattoos in southern Europe[120][121],https://en.wikipedia.org/wiki/Tattoo
Late 4th millennium BC,Writing - in Sumer and Egypt.[122][123][124][125],https://en.wikipedia.org/wiki/Writing
3300 BC,"City in Uruk, Sumer, Mesopotamia (modern-day Iraq).[126]",https://en.wikipedia.org/wiki/City
3200 BC,"Dry Latrines in the city of Uruk, Iraq, with later dry squat Toilets, that added raised fired brick foot platforms, and pedestal toilets, all over clay pipe constructed drains.[127][128][129]",https://en.wikipedia.org/wiki/Latrine
3000 BC,"Devices functionally equivalent to dice, in the form of flat two-sided throwsticks, are seen in the Egyptian game of Senet.[130] Perhaps the oldest known dice, resembling modern ones, were excavated as part of a backgammon-like game set at the Burnt City, an archeological site in south-eastern Iran, estimated to be from between 2800 and 2500 BC.[131][132] Later, terracotta dice were used at the Indus Valley site of Mohenjo-daro (modern-day Pakistan).[133]",https://en.wikipedia.org/wiki/Dice
3000 BC,Tin extraction in Central Asia[134],https://en.wikipedia.org/wiki/Tin
3000 BC - 2560 BC,Papyrus in Egypt[135][136][137][138],https://en.wikipedia.org/wiki/Papyrus
3000 BC,"Reservoir in Girnar, Indus Valley (modern-day India).[139]",https://en.wikipedia.org/wiki/Reservoir
3000 BC,Receipt in Ancient Mesopotamia (Iraq)[140],https://en.wikipedia.org/wiki/Receipt
3000 BC - 2500 BC,Rhinoplasty in Egypt.[141][142],https://en.wikipedia.org/wiki/Rhinoplasty
2650 BC,"The Ruler, or Measuring rod, in the subdivided Nippur, copper rod, of the Sumerian Civilisation (modern-day Iraq). [nb 3]",https://en.wikipedia.org/wiki/Ruler
2600 BC,"Planned city in Indus Valley (modern-day: India, Pakistan).[144][145]",https://en.wikipedia.org/wiki/Planned_city
2600 BC,"Public sewage and sanitation systems in Indus Valley sites such as Mohenjo-daro and Rakhigarhi (modern-day: India, Pakistan).[146]",https://en.wikipedia.org/wiki/Sanitation_of_the_Indus_Valley_Civilisation
2600 BC,"Public bath in Mohenjo-daro, Indus Valley (modern-day Pakistan).[147]","https://en.wikipedia.org/wiki/Great_Bath,_Mohenjo-daro"
2600 BC,Levee in Indus Valley.[148],https://en.wikipedia.org/wiki/Levee
2600 BC,"Balance weights and scales, from the Fourth Dynasty of Egypt; examples of Deben (unit) balance weights, from reign of Sneferu (c. 2600 BC) have been attributed.[149]",https://en.wikipedia.org/wiki/Weighing_scale
2556 BC,"Docks structure in Wadi al-Jarf, Egypt, which was developed by the reign of the Pharaoh Khufu.[150][138] [nb 4]",https://en.wikipedia.org/wiki/Dock_(maritime)
2500 BC,Puppetry in the Indus Valley.[157][158],https://en.wikipedia.org/wiki/Puppetry
2400 BC,Fork in Bronze Age Qijia culture in China[159],https://en.wikipedia.org/wiki/Fork
2400 BC,"Copper pipes, the Pyramid of Sahure, an adjoining temple complex at Abusir, was discovered to have a network of copper drainage pipes.[108]",https://en.wikipedia.org/wiki/History_of_water_supply_and_sanitation#Ancient_Egypt
2400 BC,Touchstone in the Indus Valley site of Banawali (modern-day India).[160],https://en.wikipedia.org/wiki/Touchstone_(assaying_tool)
2300 BC,Dictionary in Mesopotamia.[161],https://en.wikipedia.org/wiki/Dictionary
2200 BC,"Protractor, Phase IV, Lothal, Indus Valley (modern-day India), a Xancus shell cylinder with sawn grooves, at right angles, in its top and bottom surfaces, has been proposed as an angle marking tool.[162][163]",https://en.wikipedia.org/wiki/Protractor
2000 BC,"Water clock by at least the old Babylonian period (c. 2000 - c. 1600 BC),[164] but possibly earlier from Mohenjo-Daro in the Indus Valley.[165]",https://en.wikipedia.org/wiki/Water_clock
2000 BC,Chariot in Russia and Kazakhstan[166],https://en.wikipedia.org/wiki/Chariot
2000 BC,"Fountain in Lagash, Sumer",https://en.wikipedia.org/wiki/Fountain
2000 BC,"Scissors, in Mesopotamia.[167]",https://en.wikipedia.org/wiki/Scissors
1850 BC,Proto-alphabet (Proto-Sinaitic script) in Egypt.[168],https://en.wikipedia.org/wiki/Proto-Sinaitic_script
1600 BC,Surgical treatise appeared in Egypt.[169],https://en.wikipedia.org/wiki/Edwin_Smith_Papyrus
1500 BC,Sundial in Ancient Egypt[170] or Babylonia (modern-day Iraq).,https://en.wikipedia.org/wiki/Sundial
1500 BC,Glass manufacture in either Mesopotamia or Ancient Egypt[171],https://en.wikipedia.org/wiki/Glass
1500 BC,Seed drill in Babylonia[172],https://en.wikipedia.org/wiki/Seed_drill
1400 BC,"Rubber, Mesoamerican ballgame.[173][174]",https://en.wikipedia.org/wiki/Mesoamerican_rubber_balls
1400 BC - 1200 BC,"Concrete in Tiryns (Mycenaean Greece).[175][176] Waterproof concrete was later developed by the Assyrians in 688 BC,[177] and the Romans developed concretes that could set underwater.[178] The Romans later used concrete extensively for construction from 300 BC to 476 AD.[179]",https://en.wikipedia.org/wiki/Concrete
1300 BC,Lathe in Ancient Egypt[180],https://en.wikipedia.org/wiki/Lathe
1300 BC,Iron smelting in the Hittite Empire of the Middle East.[181][182],https://en.wikipedia.org/wiki/Iron_smelting
1200 BC,Distillation is described on Akkadian tablets documenting perfumery operations.[183],https://en.wikipedia.org/wiki/Distillation
700 BC,Saddle (fringed cloths or pads used by Assyrian cavalry)[184],https://en.wikipedia.org/wiki/Saddle
650 BC,Crossbow in China.[185],https://en.wikipedia.org/wiki/Crossbow
650 BC,Windmills in Persia,https://en.wikipedia.org/wiki/Persia
600 BC,Coins in Phoenicia (Modern Lebanon) or Lydia[186],https://en.wikipedia.org/wiki/Coins
Late 7th or early 6th century BC,Wagonway called Diolkos across the Isthmus of Corinth in Ancient Greece,https://en.wikipedia.org/wiki/Wagonway
6th century BC - 10th century AD,"High Carbon Steel, produced by the Closed Crucible method, later known as Wootz steel, of South India.[188][189][nb 6]",https://en.wikipedia.org/wiki/Steel#Wootz_steel_and_Damascus_steel
6th century BC,"University in Taxila, of the Indus Valley, then part of the kingdom of Gandhara, of the Achaemenid Empire (modern-day Pakistan).",https://en.wikipedia.org/wiki/University
6th century - 2nd century BC,"Systematization of medicine and surgery in the Sushruta Samhita in Vedic Northern India.[191][192][193] Documented procedures to:
Perform cataract surgery (couching). Babylonian and Egyptian texts, a millennium before, depict and mention oculists, but not the procedure itself.[194]
Perform Caesarean section.[195]
Construct Prosthetic limbs.[195]
Perform Plastic surgery, though reconstructive nasal surgery is described in millennia older Egyptian papyri.[195][196]",https://en.wikipedia.org/wiki/Sushruta_Samhita
Late 6th century BC,"Crank motion (rotary quern) in Carthage[197] or 5th century BC Celtiberian Spain[198][199] Later during the Roman empire, a mechanism appeared that incorporated a connecting rod.",https://en.wikipedia.org/wiki/Crank_(mechanism)
Before 5th century BC,Loan deeds in Upanishadic India.[200],https://en.wikipedia.org/wiki/Deed
515 BC,Crane in Ancient Greece[201],https://en.wikipedia.org/wiki/Crane_(machine)
500 BC,Lighthouse in Greece[202],https://en.wikipedia.org/wiki/Lighthouse
500 - 200 BC,"Toe stirrup, depicted in 2nd century Buddhist art, of the Sanchi and Bhaja Caves, of the Deccan Satavahana empire (modern-day India)[203][204] although may have originated as early as 500 BC.[205]",https://en.wikipedia.org/wiki/Stirrup#Precursors
485 BC,"Catapult by Ajatashatru in Magadha, India.[206][207]",https://en.wikipedia.org/wiki/Catapult
485 BC,"Scythed chariot by Ajatashatru in Magadha, India.[206][207]",https://en.wikipedia.org/wiki/Ajatashatru
